Country;Apples;Bananas;Oranges;Grapes;Mangoes;Berries;Seasonal_Availability
United States;4000000;5000000;3000000;2000000;1500000;1000000;Yes
China;7000000;4000000;5000000;3000000;2500000;2000000;Yes
India;5000000;6000000;4000000;2500000;3000000;1500000;Yes
Brazil;3000000;3500000;2500000;1500000;2000000;1200000;Yes
Russia;2500000;3000000;2000000;1200000;800000;900000;No
Japan;2000000;2500000;1500000;1000000;600000;500000;No
Germany;3500000;2000000;3000000;1500000;700000;800000;No
United Kingdom;2800000;2200000;1800000;900000;500000;600000;No
France;3200000;2100000;1600000;1100000;750000;700000;Yes
Italy;3700000;2400000;2200000;1700000;900000;850000;Yes
Spain;3300000;2700000;2500000;1600000;1000000;950000;Yes
Australia;3100000;2600000;2300000;1400000;850000;920000;Yes
Canada;2900000;2300000;2000000;1300000;800000;870000;Yes
Mexico;2500000;3000000;2700000;1500000;900000;950000;Yes
South Africa;2000000;2800000;2600000;1400000;850000;800000;No
Argentina;1800000;2700000;2500000;1300000;800000;780000;No
Chile;1500000;2600000;2400000;1200000;750000;760000;Yes
Colombia;1200000;2500000;2300000;1100000;700000;750000;Yes
Peru;1100000;2400000;2200000;1000000;650000;740000;Yes
New Zealand;1000000;2300000;2100000;900000;600000;730000;Yes
Turkey;2700000;2200000;2000000;800000;500000;710000;No
Egypt;2500000;2100000;1900000;700000;450000;690000;No
Nigeria;2300000;2000000;1800000;600000;400000;670000;No
Kenya;2100000;1900000;1700000;500000;350000;650000;No
Ghana;1900000;1800000;1600000;400000;300000;630000;No
Vietnam;1700000;1700000;1500000;300000;250000;610000;Yes
Thailand;1500000;1600000;1400000;200000;200000;590000;Yes
Indonesia;1300000;1500000;1300000;100000;150000;570000;Yes
Philippines;1100000;1400000;1200000;50000;100000;550000;Yes
Malaysia;900000;1300000;1100000;25000;75000;530000;Yes
Singapore;700000;1200000;1000000;12500;50000;510000;Yes
South Korea;600000;1100000;900000;6000;25000;490000;No
Taiwan;500000;1000000;800000;3000;10000;470000;No
Hong Kong;400000;900000;700000;1500;5000;450000;No
Saudi Arabia;300000;800000;600000;800;2500;430000;No
UAE;200000;700000;500000;400;1250;410000;No
Qatar;100000;600000;400000;200;625;390000;No
Israel;90000;500000;300000;100;312;370000;No
Jordan;80000;400000;200000;50;156;350000;No
Lebanon;70000;300000;100000;25;78;330000;No
Iraq;60000;200000;50000;12;39;310000;No
Syria;50000;100000;25000;6;20;290000;No
